gene_symbol,log2FoldChange,pvalue
E530011L22Rik,0.024145297,0.99999707
Usp47,-0.021660125,0.99999707
Gm12757,-0.013689144,0.99999707
Psme2,-0.013020695,0.99999707
Dlgap3,-0.014681787,0.99999707
Fhit,-0.00999158,0.99999707
Mlxipl,0.012409951,0.99999707
Emilin2,-0.096139109,0.99999707
Itga7,0.041735063,0.99999707
Gar1,0.018698468,0.99999707
Gm28178,-0.036186063,0.99999707
Ccdc146,0.057260497,0.99999707
Yes1,-0.02146872,0.99999707
Tmcc3,0.025934341,0.99999707
Gm13343,0.027864027,0.99999707
Usp4,-0.085065108,0.99999707
Slc25a5,-0.038242508,0.99999707
1700104B16Rik,-0.026109445,0.99999707
Lsm5,0.043481274,0.99999707
Gm42986,-0.170994802,0.28262953
Gpatch2l,0.011966468,0.99999707
Rpf1,0.07908498,0.99999707
1110037F02Rik,-0.006857075,0.99999707
Aldh1a1,-0.017969643,0.99999707
Ercc5,0.070337076,0.99999707
Gm12178,-0.171299305,0.615558873
BC107364,0.034267036,0.99999707
Pbx1,0.036166933,0.99999707
Gm12089,-0.008383649,0.99999707
Ss18l1,0.193123793,0.586009994
Gm44734,0.020325471,0.99999707
Gm7412,-0.027842387,0.99999707
Ssr2,0.015074619,0.99999707
Coro1c,-0.004811712,0.99999707
Fsbp,-0.028150234,0.99999707
Mat2a,-0.010216532,0.99999707
Msmo1,0.115713123,0.88417528
Gm15550,0.012724765,0.99999707
Rsbn1,-0.05416463,0.99999707
Gm44023,0.013092363,0.99999707
Gm9218,-0.106797022,0.99999707
4930473A02Rik,0.097565344,0.99999707
RP23-106I21.5,-0.072915716,0.99999707
Gm15787,0.033948866,0.99999707
Hnrnpa2b1,0.004807096,0.99999707
Ptbp3,0.045451902,0.99999707
Sp4,-0.052491036,0.99999707
Rab12,0.026343966,0.99999707
Slc35d3,0.021241337,0.99999707
Gm23833,-0.193863,0.33628044
Tmem199,0.038390277,0.99999707
Etf1,0.013652911,0.99999707
Gm5599,-0.053005383,0.99999707
Ptprs,-0.013541596,0.99999707
Gm12389,0.01459072,0.99999707
Gm37593,-0.100900406,0.99999707
Gm17509,-0.017762298,0.99999707
Sdc2,0.091211262,0.99999707
Ndufs2,-0.004106945,0.99999707
Gm44130,-0.002398907,0.99999707
3830408C21Rik,0.002022152,0.99999707
Sae1,-0.023033698,0.99999707
Lats1,0.043499933,0.99999707
Rbm44,0.065816047,0.99999707
Tcp11l1,-0.077518546,0.99999707
Mir7069,0.078586809,0.99999707
Drp2,-0.097259201,0.969200375
Tnfsf14,-0.149074471,0.541409985
Arhgef9,-0.078640816,0.99999707
Rnf6,0.036578808,0.99999707
Anxa3,0.062997581,0.99999707
Coa3,-0.05854566,0.99999707
Helb,-0.006145675,0.99999707
Tmem129,-0.030769548,0.99999707
Rps2-ps5,-0.075753804,0.99999707
Wdr53,0.025792945,0.99999707
Mrc1,0.211829522,0.356968503
Mir1929,0.016834524,0.99999707
B230359F08Rik,-0.004571791,0.99999707
Mir3473e,-0.011652797,0.99999707
Cox7b,0.269175172,0.143723099
Gm43223,0.063924363,0.99999707
Impa2,-0.017674861,0.99999707
Fam169b,0.02369073,0.99999707
Gm37486,-0.063987821,0.99999707
Igkv6-13,0.07036305,0.99999707
Gm12762,0.001327381,0.99999707
Lpcat2,-0.011443084,0.99999707
Gm11942,0.056174399,0.99999707
Grap,0.550753994,0.000000443
Clmp,-0.02690879,0.99999707
Dll3,0.009688548,0.99999707
Optn,0.021260717,0.99999707
Ncapg2,0.022230404,0.99999707
Gm28580,-0.043959601,0.99999707
Ezr,-0.03040792,0.99999707
Gm21596,0.161492334,0.748973412
Atp5k-ps2,-0.013785658,0.99999707
Gm19366,-0.170253929,0.749893672
Ramp1,0.033890454,0.99999707
Phkg2,0.027124833,0.99999707
Gm8643,-0.086867952,0.99999707
Keap1,0.006377749,0.99999707
Slc25a46,-0.058323759,0.99999707
Mettl25,-0.001524823,0.99999707
Gm7560,-0.063904352,0.99999707
Doc2a,-0.213660309,0.422661299
9530085L11Rik,-0.015163333,0.99999707
Bri3bp,0.046710952,0.99999707
Wdr44,-0.060404513,0.99999707
Gm36211,0.017034374,0.99999707
Smc3,0.045600966,0.99999707
Tpt1-ps1,-0.050673956,0.99999707
Zfp239,0.061187382,0.99999707
Ankrd16,0.063401932,0.99999707
Cym,0.080446689,0.975678505
Gm43625,-0.019636263,0.99999707
Fkbp2,-0.027936882,0.99999707
Gm11659,0.011923286,0.99999707
Mir7038,-0.00610543,0.99999707
Topors,0.014530037,0.99999707
Dnajc25,-0.169699936,0.586009994
Ppm1d,-0.065349593,0.99999707
Gm16867,0.060341601,0.99999707
Ighv2-5,-0.042192728,0.99999707
Ppp2r2a,0.066133919,0.821815417
Cdkal1,0.120646524,0.99999707
Pdss2,0.054459075,0.99999707
Vps26a,-0.085438624,0.99999707
Gm43275,-0.036990786,0.99999707
Gm43482,0.042805497,0.99999707
Rhobtb2,-0.142303814,0.772216801
Cilp2,-0.231527306,0.019379957
Tenm4,-0.000151763,0.99999707
Gm6421,0.140945997,0.61787002
Oaz2-ps,0.020838354,0.99999707
Zfp513,-0.01113021,0.99999707
Nrm,-0.01989296,0.99999707
Ap3s2,-0.124718054,0.99999707
Tceb3,-0.125160859,0.99999707
Gid4,0.081247561,0.99999707
Gm43637,0.009851193,0.99999707
Dido1,-0.018985073,0.99999707
Cntrl,-0.114884827,0.743603796
Sulf1,0.177704265,0.657082297
Gm595,0.096775039,0.99999707
Zdhhc6,0.006214071,0.99999707
Dmap1,-0.011037935,0.99999707
Gm7393,-0.112920944,0.746592382
Chd7,-0.020476252,0.99999707
Hspa9,-0.048958039,0.99999707
Tlcd1,-0.113329005,0.99999707
Hvcn1,0.016135296,0.99999707
Gm13270,-0.031680237,0.99999707
Gm38147,0.014382575,0.99999707
Hmgb1-rs18,0.022092119,0.99999707
Gm45027,-0.12108531,0.99999707
1700040L08Rik,-0.019033249,0.99999707
Nup210l,0.006057942,0.99999707
Por,0.000369334,0.99999707
Efna4,-0.005758108,0.99999707
Abhd3,-0.056023334,0.99999707
Dennd4b,-0.019871544,0.99999707
1110020A21Rik,-0.08080229,0.99999707
Ndufb8,0.040183797,0.979942677
Acat2,-0.082471777,0.99999707
Gm7656,0.139527344,0.970034459
Fsip1,-0.031805302,0.99999707
Gm5590,0.009249446,0.99999707
Igkv5-39,0.032514738,0.99999707
Gm11696,-0.074461775,0.99999707
Gm5648,0.022526981,0.99999707
Gm9436,-0.115203898,0.851306679
Ints7,-0.006825529,0.99999707
Zfp990,0.04136804,0.99999707
Gm2796,0.059029083,0.99999707
Dll1,-0.008437172,0.99999707
Klhl10,0.014846796,0.99999707
BC052040,-0.109474111,0.95352173
Gm14239,-0.169431703,0.705273651
Gm26977,-0.28918409,0.075623666
Zscan2,0.020919896,0.99999707
Gm15654,-0.01469644,0.99999707
Dbf4,-0.080932502,0.99999707
Gm18665,-0.105723301,0.99999707
D2Bwg1423e,-0.093776389,0.99999707
Cmya5,-0.043496176,0.99999707
Txndc5,0.194000426,0.450872035
